Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
30000,1.4325457,-0.15196774144949873,811.6774193548387,0.044423603,0.029650016,-0.3039359008112261,5.622831160022367,0.014637945,-0.045950945,0.006941713,0.0068130395,0.00783497,0.00029999999,0.964795,0.28383055,0.7307069
60000,1.4950585,-0.6446100050183304,855.475,0.0498504,0.22079529,-1.1838465562233558,8.550861208102642,0.007227382,-0.080706246,0.0032363422,0.0032022127,0.0042098523,0.00029999996,0.5454543,0.18535209,0.8224007
90000,1.5353814,0.4512222235947168,755.6388888888889,0.12643383,0.23662919,0.8746996190812852,7.21575375015123,0.010943544,-0.08173452,0.004902932,0.0049124695,0.0020361766,0.00029999999,0.41411692,0.14074591,0.8677387
120000,1.597916,0.6463272790358381,713.7045454545455,0.2947509,0.13835925,1.2653450992974369,5.213157260388305,0.017122759,-0.050998818,0.007847013,0.007877715,0.001038024,0.00029999996,0.29392445,0.09989378,0.90845424
150000,1.7639151,0.9983422417096638,653.8666666666667,0.14248808,0.07682787,1.8837474895560222,3.6167606059234063,0.017806318,-0.010149811,0.00827246,0.008321074,0.00054561,0.00029999999,0.23688518,0.07885131,0.9270842
180000,2.0146327,0.6579907250852557,703.4651162790698,0.22661988,0.0075777937,1.3159810387810995,2.8565686698136634,0.019431345,0.0010380608,0.009103613,0.009115826,0.0003083555,0.00029999999,0.2031085,0.06653713,0.93812764
210000,2.2815456,2.4396984396335606,470.41269841269843,1.1128597,0.013201018,4.879396620250883,2.5158035271904535,0.021246864,-0.0030923942,0.009937,0.009943223,0.00019491534,0.00029999996,0.18675667,0.06042189,0.94410086
240000,2.336523,2.06444213823737,532.6140350877193,1.4184246,-0.04737964,4.245456914816584,1.9917092691781022,0.024572289,-0.01678795,0.011599071,0.011594419,0.00018674534,0.00029999999,0.17730725,0.05668243,0.9472178
270000,2.4350367,2.8258202951059816,429.6666666666667,1.3882279,-0.08448814,5.473663571952046,1.8864623098235587,0.026628518,-0.034837846,0.012555697,0.012563631,0.00020634427,0.00029999996,0.16893564,0.053308483,0.95057225
300000,2.4686654,3.0888643334174484,352.0,2.1962576,-0.06476698,6.3286855816841125,1.9774369549205792,0.028634045,-0.056531504,0.013550184,0.013561263,0.00022240992,0.00029999999,0.16852587,0.052463945,0.95086294
330000,2.2969837,2.8908805479129245,404.3246753246753,1.7319312,-0.07916519,5.78175565329465,1.8387462449991054,0.028494816,-0.08344519,0.013516376,0.013513782,0.0002668661,0.00029999999,0.16562599,0.05119224,0.95172256
360000,2.2140138,3.1111176644679612,338.56470588235294,2.1787298,-0.066868134,6.234009261692272,1.6664050207665937,0.028434683,-0.116488576,0.013455956,0.013469266,0.00027861152,0.00029999999,0.16532642,0.050902978,0.9520366
390000,2.227342,3.140771472675364,361.92857142857144,2.0812006,-0.08103068,6.32201421828497,1.215126401622824,0.030313153,-0.13906024,0.014344689,0.014356415,0.00027885882,0.00029999999,0.16283973,0.0498097,0.95251364
420000,2.2284043,2.9387648926467347,387.44594594594594,1.8678408,-0.109708615,5.809961947234902,1.2304429522002858,0.030918635,-0.14645858,0.0146340905,0.014651903,0.0002945263,0.00029999996,0.15567558,0.04743475,0.95480126
450000,2.2993634,2.9402073396448962,378.4756097560976,1.914445,-0.10348382,5.745585165372709,1.57564762662523,0.029380534,-0.15056463,0.013882169,0.013880217,0.00030519217,0.00029999999,0.15208988,0.046025965,0.95623827
