Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
60000,1.8756608,-0.938220987744755,897.3947368421053,-0.032883257,-0.9382210885615725,0.0014840364,0.06722829,0.0002952342
120000,1.7754176,-0.9999124310920706,984.0,-0.09294151,-0.999912544619292,2.3001961e-05,0.06713358,0.0002865745
180000,1.6942098,-1.0023142174232773,970.7301587301587,-0.10162546,-1.0023143287925493,0.00013667387,0.06890896,0.00027756087
240000,1.6864717,-0.9439187756884232,914.6521739130435,-0.092350505,-0.9439188825587431,0.0007639554,0.07190697,0.00026850586
300000,1.7032354,-0.9928475498997454,977.1746031746031,-0.092402145,-0.9928476612955804,0.00029175807,0.07004537,0.00025961339
360000,1.6030103,-1.0010761225296716,954.015873015873,-0.09940419,-1.001076231104514,0.00014208391,0.06914891,0.00025049195
420000,1.6034154,-0.9997515440111109,984.0,-0.09791916,-0.999751657367714,2.883133e-06,0.07258811,0.00024139028
480000,1.684451,-1.0000405581474752,953.5,-0.10011674,-1.000040668528527,7.1162525e-05,0.06780531,0.00023244499
540000,1.6520581,-0.9314564550026578,959.6521739130435,-0.09497686,-0.9314565656139798,0.00041053077,0.06888849,0.00022349386
600000,1.5046196,-0.9126357541040782,927.5970149253732,-0.10345541,-0.9126358624380916,0.00100132,0.06931035,0.0002145338
660000,1.5149935,-0.821132331633814,891.3239436619718,-0.086407095,-0.8211324343484052,0.0011069074,0.06736799,0.00020557597
720000,1.2149026,-0.9855405589116799,954.640625,-0.09684141,-0.9855406681890599,0.00063863036,0.0704116,0.00019661896
780000,1.0550143,-0.7997274739921694,892.6811594202899,-0.092151664,-0.7997275764743487,0.00096779235,0.0676362,0.0001875115
840000,1.1311147,-0.637702800995612,796.4,-0.07640645,-0.6377028909112726,0.0026547578,0.06919308,0.00017843551
900000,1.0372554,-0.3880587781413673,607.7254901960785,-0.046813928,-0.38805884550161224,0.00611144,0.07118233,0.00016946103
960000,0.99223757,-0.3054746780985874,618.7032967032967,-0.027658895,-0.30547474689044796,0.0055606514,0.06950101,0.00016052248
1020000,0.9308562,-0.5417928907790851,709.3058823529411,-0.06399347,-0.541792972648845,0.003538439,0.0689397,0.00015160718
1080000,0.9390798,-0.4438823041102082,656.9176470588235,-0.043106582,-0.4438823797246989,0.004767797,0.06522694,0.00014254036
1140000,0.92751116,-0.2717066195052919,621.8333333333334,-0.0418998,-0.27170668985280727,0.0047824024,0.07044635,0.0001334334
1200000,0.83431226,-0.30854309208428043,643.3235294117648,-0.049339876,-0.3085431647213066,0.0046477737,0.06651283,0.00012447008
1260000,0.758767,-0.37043566100137904,706.7619047619048,-0.051098604,-0.3628506305885602,0.0036754152,0.067173876,0.00011553468
1320000,0.68839806,-0.34163328345641186,664.3928571428571,-0.05764238,-0.34937884960980975,0.0040642982,0.06866456,0.00010643878
1380000,0.63444215,-0.3703421743030453,661.9444444444445,-0.055121884,-0.3703422477261888,0.0042672935,0.06953195,9.751132e-05
1440000,0.5821642,-0.21197571265811072,596.4141414141415,-0.028157089,-0.21197577915859944,0.005599908,0.06818382,8.8548855e-05
1500000,0.55108976,-0.2709241639436713,623.1578947368421,-0.04362006,-0.27092423490003537,0.0047178916,0.067405716,7.942693e-05
1560000,0.5107894,-0.24802281385761618,574.1428571428571,-0.039805308,-0.248022877708787,0.0057681785,0.06723155,7.047695e-05
1620000,0.5221598,-0.28833328662161267,601.7604166666666,-0.045071386,-0.2883333530820285,0.0053135194,0.06626534,6.148257e-05
1680000,0.4840946,-0.10469810526963018,549.6574074074074,-0.022163691,-0.10469816745845256,0.006340291,0.0682063,5.2400756e-05
1740000,0.46803823,-0.24462469512570922,595.9690721649484,-0.030994639,-0.24462476376559317,0.004951373,0.07015523,4.348502e-05
1800000,0.46628577,-0.31571680409611425,666.9213483146067,-0.04654572,-0.31571688235140916,0.0042160917,0.06597367,3.4504752e-05
1860000,0.45622244,-0.13773519560373165,559.3047619047619,-0.027851727,-0.14695963521416372,0.005661964,0.06718868,2.5412928e-05
1920000,0.44633693,-0.2548244445681529,602.3469387755102,-0.04284412,-0.2439515379567941,0.0054582,0.06780465,1.6493857e-05
1980000,0.4467003,-0.11723203276092393,562.9716981132076,-0.013429927,-0.11723209369295048,0.00631711,0.069456115,7.558154e-06
