Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,1.8800094,-0.05837157,0.0006280527,0.07021216,0.0002949907,-0.9399575082952101,954.7272727272727,-0.9399576187133789
120000,1.8216779,-0.09659217,0.0005318023,0.06911924,0.00028637715,-0.9530059931478745,967.5909090909091,-0.9530061046508226
180000,1.7229921,-0.08230628,0.001493108,0.071629256,0.00027746268,-0.8078666008887407,923.3333333333334,-0.8078667058784893
240000,1.5893307,-0.03836684,0.00341049,0.07088523,0.00026859698,-0.4317699432884183,781.65,-0.4317700332030654
300000,1.375553,-0.028905911,0.0036451952,0.069546126,0.00025952916,-0.410335745583583,768.395061728395,-0.41033583493144427
360000,1.329473,-0.02162903,0.0038628408,0.06827729,0.00025050863,-0.35066228357027285,728.6363636363636,-0.3506623651203397
420000,1.2910799,-0.034418505,0.0028856164,0.069681495,0.00024155948,-0.5653770805565208,851.8428571428572,-0.565377178894622
480000,1.2733265,-0.055475008,0.0038618625,0.07056073,0.00023257612,-0.3977574461914628,760.6625,-0.3977575348224491
540000,1.0541766,0.010555574,0.0076960255,0.067724355,0.00022360255,0.07529633910235134,545.5925925925926,0.07529628000877521
600000,0.905606,0.0041297427,0.006998569,0.069956236,0.00021448794,-0.032771951861359415,593.29,-0.03277201872318983
660000,0.8670031,0.015064086,0.0064313123,0.06810732,0.00020540852,-0.01593745366320339,600.0416666666666,-0.01593752185969303
720000,0.7031489,0.044620924,0.0089624915,0.06700607,0.00019636247,0.22753438724790084,459.793893129771,0.22753433667066444
780000,0.6856786,0.08852191,0.009902352,0.06961819,0.00018745218,0.33647379518551784,408.7517730496454,0.33647375075635333
840000,0.55735505,0.17698829,0.011905766,0.07054648,0.00017850289,0.5154156359980201,304.08780487804876,0.5154156031586775
900000,0.47035283,0.22015987,0.013952925,0.06644323,0.00016941525,0.6679140967232309,217.47037037037038,0.6679140778189456
960000,0.38304272,0.18900554,0.0101722265,0.06618946,0.00016051701,0.5784669963101864,256.8211009174312,0.5784669707127668
1020000,0.457166,0.17145613,0.011929973,0.07042996,0.0001515915,0.5483865787502831,266.61344537815125,0.5483865533024073
1080000,0.3838695,0.22636573,0.012835604,0.06947671,0.00014253278,0.6784762734030689,204.51170568561872,0.6831279450318829
1140000,0.37152404,0.26623625,0.013356706,0.06809054,0.00013358895,0.7133268944869542,183.646875,0.7088198789875515
1200000,0.4381129,0.28141466,0.014785709,0.067801796,0.0001246026,0.7494582018729433,168.9939393939394,0.7487696110975779
1260000,0.532509,0.2658488,0.013998768,0.06781007,0.0001155162,0.6934474890856305,195.76582278481013,0.6935227856605868
1320000,0.4478265,0.34580532,0.01705344,0.06992165,0.000106399435,0.7996524925429636,143.52970297029702,0.8000291400393587
1380000,0.44452533,0.3439917,0.014582822,0.06821997,9.748373e-05,0.7864429117903491,151.65116279069767,0.7864428983486283
1440000,0.41480404,0.42762205,0.015930833,0.069985434,8.855007e-05,0.836522844865991,121.08080808080808,0.8365228354253552
1500000,0.42912653,0.3556578,0.014801707,0.06840021,7.944518e-05,0.7931797218662173,142.6039603960396,0.7927697354617989
1560000,0.42838427,0.32755023,0.015714282,0.068130724,7.0392125e-05,0.7747509413076126,154.13456464379948,0.7752342140007961
1620000,0.4432251,0.37431163,0.01618232,0.06754178,6.149563e-05,0.8111914195454766,136.78054298642533,0.8111914079214922
1680000,0.39372006,0.43009055,0.01609442,0.06759231,5.2557305e-05,0.8506697928308333,120.947261663286,0.8506697829865659
1740000,0.4043122,0.4220626,0.015572017,0.06753548,4.3476473e-05,0.8377932943219988,124.43487394957984,0.8377932843540897
1800000,0.36203775,0.45042259,0.016351607,0.06725191,3.4420376e-05,0.866457422407068,105.84444444444445,0.8663172615218583
1860000,0.34665105,0.41744426,0.016193422,0.066353865,2.5505691e-05,0.8316348342662161,125.80364372469636,0.8315639734147531
1920000,0.3431565,0.4708032,0.016814103,0.06676809,1.6572732e-05,0.8793723216457701,96.79145299145299,0.879538914964315
1980000,0.37428313,0.39921245,0.01634038,0.0689603,7.513101e-06,0.8339400580029925,120.05241090146751,0.8339400487235382
