Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
60000,1.8934152,-0.8820743648555985,799.3255813953489,-0.07826529,-0.8820744535430919,0.0018031779,0.06925756,0.00029533744
120000,1.8223954,-1.0092399324774026,962.9076923076923,-0.09585787,-1.009240045111913,0.00014699865,0.06866142,0.00028648772
180000,1.7814376,-1.0042936826384903,957.59375,-0.10348004,-1.0042937936377712,0.00014912967,0.06942965,0.0002774359
240000,1.7126218,-1.0029624311778207,984.0,-0.099051856,-1.002962545142509,5.8672804e-06,0.06927236,0.00026846663
300000,1.6247059,-0.9998380263360949,984.0,-0.09784918,-0.9998381399800853,5.0912204e-06,0.069457866,0.00025953093
360000,1.6541028,-1.0033722395959417,969.3076923076923,-0.09901977,-1.003372352054486,0.00014040286,0.06946088,0.0002505958
420000,1.6912516,-0.9427932658652328,960.6333333333333,-0.097492725,-0.9427933752536773,0.00044405367,0.06693394,0.00024151777
480000,1.5420312,-1.0258792988502787,959.6507936507936,-0.09904352,-1.0258794102285589,0.00030945023,0.06604174,0.00023241968
540000,1.5747904,-0.9819403596403835,945.4893617021277,-0.09353631,-0.981940468892138,0.00038630332,0.06907588,0.00022346724
600000,1.5958526,-0.8903521713179557,946.7910447761194,-0.09617692,-0.8903522815610936,0.00047781641,0.07059844,0.00021451668
660000,1.5807036,-0.8052054941593573,863.6111111111111,-0.076722525,-0.8052055944378177,0.0020504077,0.06749492,0.00020557239
720000,1.604381,-0.638712762827382,797.7564102564103,-0.07175485,-0.6387128562021714,0.0026905842,0.07064567,0.00019654703
780000,1.5089355,-0.814898489266035,870.5507246376811,-0.08153726,-0.8121765086098629,0.0014906753,0.06695232,0.0001874259
840000,1.4671268,-0.8277133742041987,847.0149253731344,-0.1006373,-0.8302470982513007,0.0017896674,0.068882324,0.00017848374
900000,1.4407451,-0.6266443925894607,726.1481481481482,-0.08907385,-0.6266444789038764,0.0035543297,0.06849714,0.00016954429
960000,1.5078518,-0.6687209380333913,728.7407407407408,-0.09677582,-0.6687210196698153,0.003653871,0.07092048,0.00016046446
1020000,1.533634,-0.41574313062913215,700.0454545454545,-0.07356963,-0.4157432096332989,0.0038407554,0.072761126,0.0001515292
1080000,1.4611914,-0.2511526434774628,602.8387096774194,-0.030693524,-0.2511527132122747,0.005308737,0.06820085,0.00014258666
1140000,1.3550093,-0.1408066274604304,501.1666666666667,-0.034360137,-0.1408066850155592,0.008014442,0.06836654,0.00013348262
1200000,1.2788186,-0.030786738937459923,490.7190082644628,-0.008024067,-0.0307867928169483,0.007475584,0.068751924,0.00012453976
1260000,1.1975363,-0.03966353528671754,443.4031007751938,-0.017563889,-0.03966358468629593,0.009293247,0.06863504,0.00011558774
1320000,1.2097985,0.10809623446025225,400.67088607594934,0.043488547,0.10809619135305851,0.010704162,0.068185985,0.00010650858
1380000,1.1119078,0.21563729658952094,363.6149068322981,0.048027486,0.2156372549047011,0.010859865,0.07024772,9.746835e-05
1440000,1.1057435,0.2921711105466028,343.2590361445783,0.057408366,0.2921710732695927,0.010679482,0.06896744,8.855457e-05
1500000,0.9717643,0.39890246382430367,293.94146341463414,0.11767333,0.3989024314029915,0.013934682,0.06528361,7.960216e-05
1560000,1.0064732,0.432396960178285,282.3724489795918,0.13111877,0.4323969326571238,0.012094363,0.06876416,7.051094e-05
1620000,1.0191202,0.1962732012470064,391.3292682926829,0.045007385,0.1962731590312792,0.0097590415,0.068417884,6.141217e-05
1680000,0.93303204,0.39306954536891897,280.5095238095238,0.11082751,0.39306951456126715,0.014548048,0.06421736,5.249073e-05
1740000,0.86317915,0.4904000205064133,229.4390243902439,0.16154987,0.4903999981053961,0.016016183,0.06796518,4.360118e-05
1800000,0.8661398,0.3929603379819748,251.36507936507937,0.13032532,0.39296031397368225,0.016172964,0.06629139,3.4509885e-05
1860000,0.86793745,0.4478415869389816,221.45490196078433,0.1439684,0.4478415648142497,0.01738706,0.07000512,2.5443416e-05
1920000,0.82672423,0.4733291563854551,235.46456692913387,0.15354481,0.47332913375745606,0.016537977,0.0666754,1.653091e-05
1980000,0.8079081,0.4515103654928931,249.58620689655172,0.13418278,0.44933332702814244,0.015483043,0.06587262,7.5898975e-06
