Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,1.9015975,-0.0903413,0.0018868028,0.0690372,0.00029514852,-0.9565237549485617,847.6428571428571,-0.9565238533098073
120000,1.7282301,-0.09992015,0.0005681173,0.07043917,0.00028649668,-0.9668575094480978,951.5454545454545,-0.9668576187933936
180000,1.729549,-0.10075942,0.0003240325,0.06777962,0.00027754012,-1.0160460872170425,954.5846153846154,-1.016046197998982
240000,1.5721972,-0.10109038,9.6030606e-05,0.06898415,0.00026859326,-1.000514218075772,969.1111111111111,-1.000514330194583
300000,1.4455711,-0.100279935,8.351111e-05,0.067747794,0.00025964138,-1.0000983456162171,968.6984126984127,-1.000098457293851
360000,1.5006195,-0.10162959,9.612682e-05,0.065533,0.00025052036,-1.000163866310537,968.2459016393443,-1.0001639783015994
420000,1.6826581,-0.10090303,7.3668084e-06,0.06653232,0.00024140149,-1.0017280562210544,970.59375,-0.9997333782532859
480000,1.7870706,-0.10232186,0.0012051256,0.06878512,0.00023245785,-0.9594676286980617,898.8923076923077,-0.9620121602872105
540000,1.7307255,-0.10383206,0.00025644654,0.07033757,0.00022349833,-0.9794822841621342,964.0588235294117,-0.9794823968527364
600000,1.6214772,-0.10159253,8.842401e-05,0.06831018,0.0002145404,-1.003399932477531,971.936507936508,-1.0034000441313735
660000,1.5714996,-0.099629074,0.00018053873,0.06993476,0.00020558559,-1.0005155586331966,953.96875,-1.0005156688275747
720000,1.5801173,-0.09562088,0.000121152894,0.06967692,0.00019663172,-0.967696706619585,968.2741935483871,-0.967696818613237
780000,1.4906658,-0.09109385,0.0007453872,0.06654291,0.0001875074,-0.9022393293959216,917.8484848484849,-0.9022394356063821
840000,1.3192112,-0.096112736,0.0013336526,0.07040209,0.00017838716,-0.925695458978524,896.4626865671642,-0.9256955620957844
900000,1.413144,-0.100379825,0.0008639662,0.067258075,0.00016948022,-0.9570030604654676,926.671875,-0.9570031685288996
960000,1.4989078,-0.10191326,0.00010083648,0.067287624,0.00016047651,-1.0003802608343157,968.6065573770492,-1.0003803716209092
1020000,1.4814812,-0.0997975,0.00030949217,0.06715215,0.00015150069,-0.9495713609243727,969.9464285714286,-0.9495714717943754
1080000,1.4454602,-0.08729924,0.001263698,0.06798677,0.00014252149,-0.8197448642412369,892.5217391304348,-0.8197449680579745
1140000,1.404669,-0.092625156,0.0012126538,0.06881497,0.00013351861,-0.8153940555181608,889.4705882352941,-0.8126388460731329
1200000,1.3893275,-0.09837995,0.0012661954,0.06871551,0.00012453404,-0.8560982954027093,923.4262295081967,-0.8584193956827925
1260000,1.3295009,-0.08197071,0.002288374,0.06965361,0.00011543567,-0.7878570779654962,873.9285714285714,-0.7878571784922055
1320000,1.345579,-0.06576008,0.002902627,0.06860049,0.000106499865,-0.5723420493785326,783.5131578947369,-0.5723421376590666
1380000,1.2723387,-0.08072538,0.0025190404,0.06594134,9.7547054e-05,-0.6176347222459246,821.9420289855072,-0.617634817040053
1440000,1.1695123,-0.06410426,0.0034158053,0.06853089,8.843109e-05,-0.4587189334590589,750.5822784810126,-0.45871901672474946
1500000,1.1272979,-0.065653294,0.002535556,0.06857189,7.9491525e-05,-0.5533525755557716,777.828947368421,-0.5533526639797186
1560000,1.1332909,-0.08169219,0.0018627258,0.069990106,7.057159e-05,-0.7080478254713046,849.4929577464789,-0.7080479215987971
1620000,1.1450062,-0.06552275,0.0038076153,0.06975298,6.1493265e-05,-0.46762302124242966,750.6282051282051,-0.46762310871138024
1680000,1.0533369,-0.04259614,0.0058501777,0.07031218,5.2424086e-05,-0.3084446326524522,638.7659574468086,-0.30844470636641724
1740000,0.99133605,-0.043558177,0.004396513,0.070416644,4.347726e-05,-0.32080460036089536,682.0697674418604,-0.3208046779036522
1800000,0.91459465,-0.016500443,0.0068263565,0.06922838,3.4494547e-05,-0.1227725055930433,564.8235294117648,-0.11409506695990515
1860000,0.8490047,-0.042460613,0.0039047403,0.06695139,2.538931e-05,-0.3756291633123582,690.438202247191,-0.38255780525505545
1920000,0.81824243,-0.022021005,0.007060571,0.06848121,1.6474633e-05,-0.06601195792085492,547.28,-0.06601201698184013
1980000,0.76281494,-0.025565939,0.007824409,0.06667221,7.538954e-06,-0.1763114606576819,556.8141592920354,-0.17631152067827968
