Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
60000,0.24686442,1.4024156497735836,26.592877767083735,0.61496276,1.4024155859882954,0.950776,0.06768488,0.0002955043
120000,0.05844057,16.603473398496828,175.19939577039275,5.82689,16.60347266099064,1.70835,0.07100927,0.00028658897
180000,0.035853848,18.019126728275715,190.24610591900313,6.712202,18.019125880574883,2.0857217,0.069838345,0.00027751384
240000,0.034463584,21.052652692895094,219.80384615384617,6.753016,21.052651513998324,1.6818135,0.068283565,0.0002684521
300000,0.025376875,26.994762690324897,277.87264150943395,7.472412,26.994761213379086,1.659959,0.067969084,0.00025953364
360000,0.022118054,25.189735474571457,259.9605263157895,7.378898,25.189734089923533,1.6339802,0.0707429,0.00025062182
420000,0.02360972,26.195687469194333,270.0444444444444,7.4550505,26.195686000320645,1.6296093,0.07326034,0.00024156914
480000,0.020150319,28.710050806978533,294.64397905759165,7.74439,28.71004923819247,1.6598483,0.06865289,0.00023250734
540000,0.023120083,27.880578203567705,286.7149758454106,7.7773476,27.880576570108893,1.609434,0.06846495,0.00022346187
600000,0.021656092,28.57352786559575,293.54901960784315,7.788222,28.573526249796735,1.6233745,0.06675208,0.0002144159
660000,0.02052291,26.639716866509247,274.30046948356807,7.5862966,26.63971533524878,1.5852767,0.06708262,0.00020550813
720000,0.020353654,25.42162023913451,262.4684684684685,7.676507,25.42161884085015,1.7333333,0.07040663,0.00019659508
780000,0.021245686,26.66786585124077,274.7298578199052,7.5641375,26.667864411292484,1.6122488,0.06807999,0.00018752551
840000,0.021760149,26.766420567134787,275.6697247706422,7.6656384,26.766419100788756,1.692952,0.06874515,0.00017847244
900000,0.020007249,31.87236092158767,325.9120879120879,7.836835,31.872359048042977,1.3923726,0.06687742,0.00016940375
960000,0.019558739,31.802987418562658,325.04891304347825,7.806773,31.965406176822434,1.3903039,0.0667376,0.00016050207
1020000,0.020202376,28.835101536331102,296.180412371134,7.7359467,28.697894163009448,1.5735886,0.06857015,0.00015160935
1080000,0.018603807,29.308038617938234,300.62311557788945,7.8355403,29.308036828011126,1.5066985,0.06828167,0.00014254655
1140000,0.018296652,28.58576960238021,293.40796019900495,8.003784,28.585767999662096,1.501325,0.06929919,0.00013347901
1200000,0.017661463,25.06466824320937,258.59030837004406,7.8470306,25.064666962833655,1.7511268,0.06924693,0.00012443213
1260000,0.018919503,30.206717121783488,309.8072916666667,7.831125,30.121312332780736,1.4631598,0.069011904,0.00011553123
1320000,0.017593319,27.55291112745633,283.4514563106796,7.75261,27.656439274836046,1.6079129,0.07030543,0.000106616586
1380000,0.019132664,29.461544800645758,302.21649484536084,7.730065,29.4615430974776,1.5275706,0.06965477,9.758328e-05
1440000,0.017737964,32.94632591176673,336.4124293785311,7.954749,32.94632398341335,1.3415745,0.071121,8.854381e-05
1500000,0.01675422,30.547538460785134,312.6844919786096,7.981917,30.547536800570665,1.529055,0.06636419,7.948997e-05
1560000,0.016471926,30.887923868422575,316.21276595744683,7.822113,30.887922134329663,1.4345372,0.06979079,7.0427304e-05
1620000,0.016709846,29.106578741579707,298.95854922279796,7.989913,29.106577063780374,1.5663813,0.0697654,6.153279e-05
1680000,0.016300397,32.24197628971312,329.3791208791209,8.054063,32.241974433372306,1.4086546,0.06943004,5.262372e-05
1740000,0.016439848,27.1311890093521,279.37142857142857,7.7907786,27.131187452872595,1.5861562,0.068891615,4.356059e-05
1800000,0.017031748,28.01821963994119,287.8125,7.710457,28.018218031869484,1.5043714,0.06971919,3.4506993e-05
1860000,0.01777757,28.988898956358277,297.2565445026178,7.794342,28.98889740521371,1.465392,0.06810056,2.5444013e-05
1920000,0.017582769,33.66438021355968,343.5449438202247,8.005039,33.66437835823954,1.3328364,0.06634047,1.652647e-05
1980000,0.016242625,29.10266509531782,298.6717948717949,7.9402685,29.1026634256045,1.5693184,0.06812734,7.607484e-06
