Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
60000,0.39939874,0.23604584120841202,18.007334183673468,-0.17891617,0.23604582578932143,0.46386898,0.06858823,0.00029536654
120000,0.057598546,14.251082774107532,182.23839009287926,4.499236,14.251082270230302,1.1817147,0.069003426,0.00028649272
180000,0.01747702,28.350712722067588,346.9761904761905,6.4374757,28.350711657887413,0.90177876,0.06743029,0.0002776131
240000,0.013531256,35.868465192112936,434.55474452554745,7.3516965,35.86846368330239,0.81956315,0.06744219,0.00026855076
300000,0.01627715,39.96577017722515,482.0406504065041,7.2708454,39.96576827861429,0.65610766,0.066185534,0.00025952372
360000,0.017300302,42.365962607720704,510.5175438596491,7.4528537,42.36596073445521,0.604854,0.069808014,0.00025050787
420000,0.012465558,36.066689204945064,436.8529411764706,7.341711,36.06668748662752,0.7527911,0.06830731,0.00024148036
480000,0.0064447722,50.5853033805152,606.3469387755102,7.444982,51.06360356094911,0.47823116,0.068878196,0.0002324569
540000,0.007128622,48.274353815131995,579.4257425742575,7.618626,47.84215254526512,0.48396987,0.06824989,0.00022344041
600000,0.011544727,46.25112956233393,555.9716981132076,7.8540072,46.25112767545682,0.57152545,0.06965776,0.00021442535
660000,0.012330136,47.08509360042472,565.5576923076923,7.7421865,47.08509167226461,0.4920594,0.06628401,0.00020541823
720000,0.012207858,48.02824982308141,576.252427184466,7.829005,48.02824777769811,0.47659189,0.06863322,0.00019639649
780000,0.013400019,41.31533673189391,498.0593220338983,7.7261696,41.31533466304763,0.57742727,0.06768438,0.00018736719
840000,0.012743125,39.106797868728634,472.464,7.2980056,39.10679594135284,0.55956995,0.067082636,0.00017849499
900000,0.017509727,41.86093789272201,504.8119658119658,7.730227,41.860935891795364,0.6219592,0.06808662,0.0001696046
960000,0.007792769,52.3069445377902,626.4315789473684,7.845977,52.30694266181243,0.44756946,0.06706902,0.00016057679
1020000,0.011308756,57.258938083227946,684.0235294117647,8.02656,57.258935283212104,0.3128935,0.06592664,0.000151576
1080000,0.015699703,49.33999732561409,591.77,7.7735457,49.33999500513077,0.46046567,0.06484137,0.00014255737
